,character1,star1,star_id1,character2,star2,star_id2,age_gap,genders,question,score
0,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",kisses,1.4812725567026064e-05
1,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",kisses,4.553976395982318e-06
2,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",kisses,2.187761856475845e-05
3,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",kisses,5.324226549419109e-06
4,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",kisses,3.1918191325530643e-06
5,the Malibu Police Chief,Leon Russom,169920,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,8,"[2, 2]",kisses,7.804849389003721e-08
6,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",sleeps with,0.01739129051566124
7,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",sleeps with,3.346806261106394e-05
8,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",sleeps with,0.001513503142632544
9,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",sleeps with,4.2343726818216965e-05
10,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",sleeps with,0.0003131652483716607
11,Jackie Treehorn,Ben Gazzara,856,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",sleeps with,0.010788513347506523
12,the Malibu Police Chief,Leon Russom,169920,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,8,"[2, 2]",sleeps with,4.283888756617671e-06
13,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",goes on a date with,0.08055385202169418
14,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",goes on a date with,0.00037111793062649667
15,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",goes on a date with,0.0014137764228507876
16,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",goes on a date with,6.17938712821342e-05
17,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",goes on a date with,0.00028983416268602014
18,Jackie Treehorn,Ben Gazzara,856,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",goes on a date with,0.03793257474899292
19,the Malibu Police Chief,Leon Russom,169920,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,8,"[2, 2]",goes on a date with,1.0569834557827562e-05
20,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",has sex with,0.2509578466415405
21,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",has sex with,0.00023197483096737415
22,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",has sex with,0.013219126500189304
23,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",has sex with,3.1499264878220856e-05
24,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",has sex with,0.0010329431388527155
25,Jackie Treehorn,Ben Gazzara,856,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",has sex with,0.01298939622938633
26,the Malibu Police Chief,Leon Russom,169920,Jackie Treehorn,Ben Gazzara,856,11,"[2, 2]",has sex with,2.7914480597246438e-05
27,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",marries,0.0007131330203264952
28,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",marries,0.000250463024713099
29,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",marries,0.0006603061920031905
30,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",marries,4.037189864902757e-05
31,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",marries,4.456674651009962e-05
32,the Malibu Police Chief,Leon Russom,169920,Jackie Treehorn,Ben Gazzara,856,11,"[2, 2]",marries,1.3145420325599844e-06
33,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",is in love with,0.000889794435352087
34,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",is in love with,7.514948811149225e-05
35,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",is in love with,0.0006121081532910466
36,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",is in love with,1.1877734323206823e-05
37,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",is in love with,2.799547291942872e-05
38,Jackie Treehorn,Ben Gazzara,856,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,19,"[2, 2]",is in love with,0.004048026166856289
39,the Malibu Police Chief,Leon Russom,169920,"Jeffrey ""The Dude"" Lebowski",Jeff Bridges,1229,8,"[2, 2]",is in love with,1.1291993359918706e-05
40,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",is in couple with,0.19587291777133942
41,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",is in couple with,0.0025932099670171738
42,The Big,David Huddleston,1232,Jackie Treehorn,Ben Gazzara,856,0,"[2, 2]",is in couple with,0.025069650262594223
43,Bunny Lebowski,Tara Reid,1234,Jackie Treehorn,Ben Gazzara,856,45,"[1, 2]",is in couple with,0.0002104796003550291
44,The Stranger,Sam Elliott,16431,Jackie Treehorn,Ben Gazzara,856,14,"[2, 2]",is in couple with,0.0005580766592174768
45,the Malibu Police Chief,Leon Russom,169920,Jackie Treehorn,Ben Gazzara,856,11,"[2, 2]",is in couple with,2.291598320880439e-05
46,The Dude,Jeff Bridges,1229,Jackie Treehorn,Ben Gazzara,856,19,"[2, 2]",is the father of,0.13830925524234772
47,Maude Lebowski,Julianne Moore,1231,Jackie Treehorn,Ben Gazzara,856,30,"[1, 2]",is the father of,0.01480341237038374
